taxon,naam,name,familie,family,file
Anthus trivialis,Boompieper,Tree Pipit,Piepers en kwikstaarten,Motacillidae,01 - Anthus trivialis - Tree Pipit.flac.mp3
Cygnus columbianus,Kleine zwaan,Bewick's Swan,Eendvogels,Anatidae,01 - Cygnus columbianus - Bewick's Swan.flac.mp3
Anthus pratensis,Graspieper,Meadow Pipit,Piepers en kwikstaarten,Motacillidae,02 - Anthus pratensis - Meadow Pipit.flac.mp3
Cygnus cygnus,Wilde zwaan,Whooper Swan,Eendvogels,Anatidae,02 - Cygnus cygnus - Whooper Swan.flac.mp3
Anser brachyrhynchus,Kleine rietgans,Pink-footed Goose,Eendvogels,Anatidae,03 - Anser brachyrhynchus - Pink-footed Goose.flac.mp3
Anthus petrosus,Oeverpieper,Rock Pipit,Piepers en kwikstaarten,Motacillidae,03 - Anthus petrosus - Rock Pipit.flac.mp3
Anser anser,Grauwe gans,Greylag Goose,Eendvogels,Anatidae,04 - Anser anser - Greylag Goose.flac.mp3
Motacilla flava,Gele kwikstaart,Yellow Wagtail,Piepers en kwikstaarten,Motacillidae,04 - Motacilla flava flavissima - Yellow Wagtail.flac.mp3
Branta bernicla,Rotgans,Brent Goose,Eendvogels,Anatidae,05 - Branta bernicla - Brent Goose.flac.mp3
Motacilla cinerea,Grote gele kwikstaart,Grey Wagtail,Piepers en kwikstaarten,Motacillidae,05 - Motacilla cinerea - Grey Wagtail.flac.mp3
Anas penelope,Smient,Eurasian Wigeon,Eendvogels,Anatidae,06 - Anas penelope - Eurasian Wigeon.flac.mp3
Motacilla alba,Witte kwikstaart,Pied & White Wagtail,Piepers en kwikstaarten,Motacillidae,06 - Motacilla alba yarrellii & Motacilla alba alba - Pied & White Wagtail.flac.mp3
Anas crecca,Wintertaling,Eurasian Teal,Eendvogels,Anatidae,07 - Anas crecca - Eurasian Teal.flac.mp3
Bombycilla garrulus,Pestvogel,Bohemian Waxwing,Pestvogels,Bombycillidae,07 - Bombycilla garrulus - Bohemian Waxwing.flac.mp3
Anas platyrhynchos,Wilde eend,Mallard,Eendvogels,Anatidae,08 - Anas platyrhynchos - Mallard.flac.mp3
Cinclus cinclus,Waterspreeuw,White-throated Dipper,Waterspreeuwen,Cinclidae,08 - Cinclus cinclus - White-throated Dipper.flac.mp3
Somateria mollissima,Eider,Common Eider,Eendvogels,Anatidae,09 - Somateria mollissima - Common Eider.flac.mp3
Troglodytes troglodytes,Winterkoning,Eurasian Wren,Winterkoningen,Troglodytidae,09 - Troglodytes troglodytes - Eurasian Wren.flac.mp3
Lagopus lagopus,Moerassneeuwhoen,Red Grouse,Ruigpoothoenders,Tetraonidae,10 - Lagopus lagopus scotica - Red Grouse.flac.mp3
Prunella modularis,Heggenmus,Dunnock,Heggenmussen,Prunellidae,10 - Prunella modularis - Dunnock.flac.mp3
Erithacus rubecula,Roodborst,European Robin,Lijsters,Turdidae,11 - Erithacus rubecula - European Robin.flac.mp3
Lagopus muta,,Rock Ptarmigan,,,11 - Lagopus muta - Rock Ptarmigan.flac.mp3
Luscinia luscinia,Noordse nachtegaal,Thrush Nightingale,Lijsters,Turdidae,12 - Luscinia luscinia - Thrush Nightingale.flac.mp3
Tetrao tetrix,Korhoen,Eurasian Black Grouse,Ruigpoothoenders,Tetraonidae,12 - Tetrao tetrix  - Eurasian Black Grouse.flac.mp3
Luscinia megarhynchos,Nachtegaal,Nightingale,Lijsters,Turdidae,13 - Luscinia megarhynchos - Nightingale.flac.mp3
Tetrao urogallus,Auerhoen,Eurasian Capercaillie,Ruigpoothoenders,Tetraonidae,13 - Tetrao urogallus - Eurasian Capercaillie.flac.mp3
Alectoris rufa,Rode patrijs,Red-legged Partridge,"Patrijzen, kwartels en fazanten",Phasianidae,14 - Alectoris rufa - Red-legged Partridge.flac.mp3
Luscinia svecica,Blauwborst,Bluethroat,Lijsters,Turdidae,14 - Luscinia svecica - Bluethroat.flac.mp3
Perdix perdix,Patrijs,Grey Partridge,"Patrijzen, kwartels en fazanten",Phasianidae,15 - Perdix perdix - Grey Partridge.flac.mp3
Phoenicurus ochruros,Zwarte roodstaart,Black Redstart,Lijsters,Turdidae,15 - Phoenicurus ochruros - Black Redstart.flac.mp3
Coturnix coturnix,Kwartel,Common Quail,"Patrijzen, kwartels en fazanten",Phasianidae,16 - Coturnix coturnix - Common Quail.flac.mp3
Phoenicurus phoenicurus,Gekraagde roodstaart,Common Redstart,Lijsters,Turdidae,16 - Phoenicurus phoenicurus - Common Redstart.flac.mp3
Phasianus colchicus,Fazant,Ring-necked Pheasan,"Patrijzen, kwartels en fazanten",Phasianidae,17 - Phasianus colchicus - Ring-necked Pheasan.flac.mp3
Saxicola rubetra,Paap,Whinchat,Lijsters,Turdidae,17 - Saxicola rubetra - Whinchat.flac.mp3
Gavia immer,IJsduiker,Great Northern Diver,Duikers,Gaviidae,18 - Gavia immer - Great Northern Diver.flac.mp3
Saxicola torquatus,Roodborsttapuit,European Stonechat,Lijsters,Turdidae,18 - Saxicola torquatus rubicola - European Stonechat.flac.mp3
Oenanthe oenanthe,Tapuit,Northern Wheatear,Lijsters,Turdidae,19 - Oenanthe oenanthe - Northern Wheatear.flac.mp3
Tachybaptus ruficollis,Dodaars,Little Grebe,Futen,Podicipedidae,19 - Tachybaptus ruficollis - Little Grebe.flac.mp3
Podiceps cristatus,Fuut,Great Crested Grebe,Futen,Podicipedidae,20 - Podiceps cristatus - Great Crested Grebe.flac.mp3
Turdus torquatus,Beflijster,Ring Ouzel,Lijsters,Turdidae,20 - Turdus torquatus - Ring Ouzel.flac.mp3
Turdus merula,Merel,Eurasian Blackbird,Lijsters,Turdidae,21 -  Turdus merula - Eurasian Blackbird.flac.mp3
Puffinus puffinus,Noordse pijlstormvogel,Manx Shearwater,Pijlstormvogels,Procellariidae,21 - Puffinus puffinus - Manx Shearwater.flac.mp3
Hydrobates pelagicus,Stormvogeltje,European Storm-Petrel,Noordelijke stormvogeltjes,Hydrobatidae,22 - Hydrobates pelagicus - European Storm-Petrel.flac.mp3
Turdus pilaris,Kramsvogel,Fieldfare,Lijsters,Turdidae,22 - Turdus pilaris - Fieldfare.flac.mp3
Botaurus stellaris,Roerdomp,Great Bittern,Reigers,Ardeidae,23 - Botaurus stellaris - Great Bittern.flac.mp3
Turdus philomelos,Zanglijster,Song Thrush,Lijsters,Turdidae,23 - Turdus philomelos - Song Thrush.flac.mp3
Ardea cinerea,Blauwe reiger,Grey Heron,Reigers,Ardeidae,24 - Ardea cinerea - Grey Heron.flac.mp3
Turdus iliacus,Koperwiek,Redwing,Lijsters,Turdidae,24 - Turdus iliacus - Redwing.flac.mp3
Milvus migrans,Zwarte wouw,Black Kite,Havikachtigen,Accipitridae,25 - Milvus migrans - Black Kite.flac.mp3
Turdus viscivorus,Grote lijster,Mistle Thrush,Lijsters,Turdidae,25 - Turdus viscivorus - Mistle Thrush.flac.mp3
Cettia cetti,Cetti's zanger,Cetti's Bush-Warbler,Zangers,Sylviidae,26 - Cettia cetti - Cetti's Bush-Warbler.flac.mp3
Milvus milvus,Rode wouw,Red Kite,Havikachtigen,Accipitridae,26 - Milvus milvus - Red Kite.flac.mp3
Circus aeruginosus,Bruine kiekendief,Western Marsh-Harrier,Havikachtigen,Accipitridae,27 - Circus aeruginosus - Western Marsh-Harrier.flac.mp3
Locustella naevia,Sprinkhaanzanger,Grasshopper Warbler,Zangers,Sylviidae,27 - Locustella naevia - Grasshopper Warbler.flac.mp3
Accipiter nisus,Sperwer,Eurasian Sparrowhawk,Havikachtigen,Accipitridae,28 - Accipiter nisus - Eurasian Sparrowhawk.flac.mp3
Locustella fluviatilis,Krekelzanger,River Warbler,Zangers,Sylviidae,28 - Locustella fluviatilis - River Warbler.flac.mp3
Buteo buteo,Buizerd,Eurasian Buzzard,Havikachtigen,Accipitridae,29 - Buteo buteo - Eurasian Buzzard.flac.mp3
Locustella luscinioides,Snor,Savi's Warbler,Zangers,Sylviidae,29 - Locustella luscinioides - Savi's Warbler.flac.mp3
Acrocephalus paludicola,Waterrietzanger,Aquatic Warbler,Zangers,Sylviidae,30 - Acrocephalus paludicola - Aquatic Warbler.flac.mp3
Pandion haliaetus,Visarend,Osprey,Visarenden,Pandionidae,30 - Pandion haliaetus - Osprey.flac.mp3
Acrocephalus schoenobaenus,Rietzanger,Sedge Warbler,Zangers,Sylviidae,31 - Acrocephalus schoenobaenus - Sedge Warbler.flac.mp3
Falco tinnunculus,Torenvalk,Common Kestrel,Valkachtigen,Falconidae,31 - Falco tinnunculus - Common Kestrel.flac.mp3
Acrocephalus dumetorum,Struikrietzanger,Blyth's Reed Warbler,Zangers,Sylviidae,32 - Acrocephalus dumetorum - Blyth's Reed Warbler.flac.mp3
Falco subbuteo,Boomvalk,Eurasian Hobby,Valkachtigen,Falconidae,32 - Falco subbuteo - Eurasian Hobby.flac.mp3
Acrocephalus palustris,Bosrietzanger,Marsh Warbler,Zangers,Sylviidae,33 - Acrocephalus palustris - Marsh Warbler.flac.mp3
Falco peregrinus,Slechtvalk,Peregrine Falcon,Valkachtigen,Falconidae,33 - Falco peregrinus - Peregrine Falcon.flac.mp3
Acrocephalus scirpaceus,Kleine karekiet,European Reed Warbler,Zangers,Sylviidae,34 - Acrocephalus scirpaceus - European Reed Warbler.flac.mp3
Rallus aquaticus,Waterral,European Water Rail,"Rallen, waterhoenen en koeten",Rallidae,34 - Rallus aquaticus - European Water Rail.flac.mp3
Acrocephalus arundinaceus,Grote karekiet,Great Reed Warbler,Zangers,Sylviidae,35 - Acrocephalus arundinaceus - Great Reed Warbler.flac.mp3
Porzana porzana,Porseleinhoen,Spotted Crake,"Rallen, waterhoenen en koeten",Rallidae,35 - Porzana porzana - Spotted Crake.flac.mp3
Crex crex,Kwartelkoning,Corncrake,"Rallen, waterhoenen en koeten",Rallidae,36 - Crex crex - Corncrake.flac.mp3
Hippolais icterina,Spotvogel,Icterine Warbler,Zangers,Sylviidae,36 - Hippolais icterina - Icterine Warbler.flac.mp3
Gallinula chloropus,Waterhoen,Common Moorhen,"Rallen, waterhoenen en koeten",Rallidae,37 - Gallinula chloropus - Common Moorhen.flac.mp3
Sylvia atricapilla,Zwartkop,Blackcap,Zangers,Sylviidae,37 - Sylvia atricapilla - Blackcap.flac.mp3
Fulica atra,Meerkoet,Common Coot,"Rallen, waterhoenen en koeten",Rallidae,38 - Fulica atra - Common Coot.flac.mp3
Sylvia borin,Tuinfluiter,Garden Warbler,Zangers,Sylviidae,38 - Sylvia borin - Garden Warbler.flac.mp3
Grus grus,Kraanvogel,Eurasian Crane,Kraanvogels,Gruidae,39 - Grus grus - Eurasian Crane.flac.mp3
Sylvia nisoria,Sperwergrasmus,Barred Warbler,Zangers,Sylviidae,39 - Sylvia nisoria - Barred Warbler.flac.mp3
Haematopus ostralegus,Scholekster,Eurasian Oystercatcher,Scholeksters,Haematopodidae,40 - Haematopus ostralegus - Eurasian Oystercatcher.flac.mp3
Sylvia curruca,Braamsluiper,Lesser Whitethroat,Zangers,Sylviidae,40 - Sylvia curruca - Lesser Whitethroat.flac.mp3
Recurvirostra avosetta,Kluut,Pied Avocet,Kluten,Recurvirostridae,41 - Recurvirostra avosetta - Pied Avocet.flac.mp3
Sylvia communis,Grasmus,Whitethroat,Zangers,Sylviidae,41 - Sylvia communis - Whitethroat.flac.mp3
Sylvia undata,Provençaalse grasmus,Dartford Warbler,Zangers,Sylviidae,42 -  Sylvia undata - Dartford Warbler.flac.mp3
Burhinus oedicnemus,Griel,Stone-curlew,Grielen,Burhinidae,42 - Burhinus oedicnemus - Stone-curlew.flac.mp3
Charadrius dubius,Kleine plevier,Little Ringed Plover,Plevieren,Charadriidae,43 - Charadrius dubius - Little Ringed Plover.flac.mp3
Phylloscopus trochiloides,Grauwe fitis,Greenish Warbler,Zangers,Sylviidae,43 - Phylloscopus trochiloides viridanus - Greenish Warbler.flac.mp3
Charadrius hiaticula,Bontbekplevier,Ringed Plover,Plevieren,Charadriidae,44 - Charadrius hiaticula - Ringed Plover.flac.mp3
Phylloscopus sibilatrix,Fluiter,Wood Warbler,Zangers,Sylviidae,44 - Phylloscopus sibilatrix - Wood Warbler.flac.mp3
Phylloscopus collybita,Tjiftjaf,Common Chiffchaff,Zangers,Sylviidae,45 - Phylloscopus collybita - Common Chiffchaff.flac.mp3
Pluvialis apricaria,Goudplevier,Eurasian Golden-Plover,Plevieren,Charadriidae,45 - Pluvialis apricaria - Eurasian Golden-Plover.flac.mp3
Phylloscopus trochilus,Fitis,Willow Warbler,Zangers,Sylviidae,46 - Phylloscopus trochilus - Willow Warbler.flac.mp3
Pluvialis squatarola,Zilverplevier,Grey Plover,Plevieren,Charadriidae,46 - Pluvialis squatarola - Grey Plover.flac.mp3
Regulus regulus,Goudhaan,Goldcrest,Zangers,Sylviidae,47 - Regulus regulus - Goldcrest.flac.mp3
Vanellus vanellus,Kievit,Northern Lapwing,Plevieren,Charadriidae,47 - Vanellus vanellus - Northern Lapwing.flac.mp3
Calidris alpina,Bonte strandloper,Dunlin,Strandlopers,Scolopacidae,48 - Calidris alpina - Dunlin.flac.mp3
Regulus ignicapilla,Vuurgoudhaan,Firecrest,Zangers,Sylviidae,48 - Regulus ignicapilla - Firecrest.flac.mp3
Gallinago gallinago,Watersnip,Eurasian Snipe,Strandlopers,Scolopacidae,49 - Gallinago gallinago - Eurasian Snipe.flac.mp3
Muscicapa striata,Grauwe vliegenvanger,Spotted Flycatcher,Vliegenvangers,Muscicapidae,49 - Muscicapa striata - Spotted Flycatcher.flac.mp3
Ficedula parva,Kleine vliegenvanger,Red-breasted Flycatcher,Vliegenvangers,Muscicapidae,50 - Ficedula parva - Red-breasted Flycatcher.flac.mp3
Scolopax rusticola,Houtsnip,Eurasian Woodcock,Strandlopers,Scolopacidae,50 - Scolopax rusticola - Eurasian Woodcock.flac.mp3
Ficedula albicollis,Withalsvliegenvanger,Collared Flycatcher,Vliegenvangers,Muscicapidae,51 - Ficedula albicollis - Collared Flycatcher.flac.mp3
Limosa limosa,Grutto,Black-tailed Godwit,Strandlopers,Scolopacidae,51 - Limosa limosa - Black-tailed Godwit.flac.mp3
Ficedula hypoleuca,Bonte vliegenvanger,Pied Flycatcher,Vliegenvangers,Muscicapidae,52 - Ficedula hypoleuca - Pied Flycatcher.flac.mp3
Limosa lapponica,Rosse grutto,Bar-tailed Godwit,Strandlopers,Scolopacidae,52 - Limosa lapponica - Bar-tailed Godwit.flac.mp3
Numenius phaeopus,Regenwulp,Eurasian Whimbrel,Strandlopers,Scolopacidae,53 - Numenius phaeopus - Eurasian Whimbrel.flac.mp3
Panurus biarmicus,Baardman,Bearded Reedling,Timalia's,Timaliidae,53 - Panurus biarmicus - Bearded Reedling.flac.mp3
Aegithalos caudatus,Staartmees,Northern Long-tailed Tit,Staartmezen,Aegithalidae,54 - Aegithalos caudatus - Northern Long-tailed Tit.flac.mp3
Numenius arquata,Wulp,Eurasian Curlew,Strandlopers,Scolopacidae,54 - Numenius arquata - Eurasian Curlew.flac.mp3
Cyanistes caeruleus,Pimpelmees,European Blue Tit,Mezen,Paridae,55 - Cyanistes caeruleus - European Blue Tit.flac.mp3
Tringa erythropus,Zwarte ruiter,Spotted Redshank,Strandlopers,Scolopacidae,55 - Tringa erythropus - Spotted Redshank.flac.mp3
Parus major,Koolmees,Great Tit,Mezen,Paridae,56 - Parus major - Great Tit.flac.mp3
Tringa totanus,Tureluur,Common Redshank,Strandlopers,Scolopacidae,56 - Tringa totanus - Common Redshank.flac.mp3
Lophophanes cristatus,Kuifmees,Crested Tit,Mezen,Paridae,57 - Lophophanes cristatus - Crested Tit.flac.mp3
Tringa nebularia,Groenpootruiter,Common Greenshank,Strandlopers,Scolopacidae,57 - Tringa nebularia - Common Greenshank.flac.mp3
Periparus ater,Zwarte mees,Coal Tit,Mezen,Paridae,58 - Periparus ater - Coal Tit.flac.mp3
Tringa ochropus,Witgat,Green Sandpiper,Strandlopers,Scolopacidae,58 - Tringa ochropus - Green Sandpiper.flac.mp3
Poecile montanus,Matkop,Willow Tit,Mezen,Paridae,59 - Poecile montanus - Willow Tit.flac.mp3
Tringa glareola,Bosruiter,Wood Sandpiper,Strandlopers,Scolopacidae,59 - Tringa glareola - Wood Sandpiper.flac.mp3
Actitis hypoleucos,Oeverloper,Common Sandpiper,Strandlopers,Scolopacidae,60 - Actitis hypoleucos - Common Sandpiper.flac.mp3
Poecile palustris,Glanskop,Marsh Tit,Mezen,Paridae,60 - Poecile palustris - Marsh Tit.flac.mp3
Arenaria interpres,Steenloper,Ruddy Turnstone,Strandlopers,Scolopacidae,61 - Arenaria interpres - Ruddy Turnstone.flac.mp3
Sitta europaea,Boomklever,Eurasian Nuthatch,Boomklevers,Sittidae,61 - Sitta europaea - Eurasian Nuthatch.flac.mp3
Certhia familiaris,Taigaboomkruiper,Eurasian Treecreeper,Boomkruipers,Certhiidae,62 - Certhia familiaris - Eurasian Treecreeper.flac.mp3
Stercorarius parasiticus,Kleine jager,Arctic Skua,Jagers,Stercorariidae,62 - Stercorarius parasiticus - Arctic Skua.flac.mp3
Certhia brachydactyla,Boomkruiper,Short-toed Treecreeper,Boomkruipers,Certhiidae,63 - Certhia brachydactyla - Short-toed Treecreeper.flac.mp3
Chroicocephalus ridibundus,Kokmeeuw,Black-headed Gull,Meeuwen,Laridae,63 - Chroicocephalus ridibundus - Black-headed Gull.flac.mp3
Larus canus,Stormmeeuw,Common Gull,Meeuwen,Laridae,64 - Larus canus - Common Gull.flac.mp3
Remiz pendulinus,Buidelmees,European Penduline Tit,Buidelmezen,Remizidae,64 - Remiz pendulinus - European Penduline Tit.flac.mp3
Larus fuscus,Kleine mantelmeeuw,Lesser Black-backed Gull,Meeuwen,Laridae,65 - Larus fuscus - Lesser Black-backed Gull.flac.mp3
Oriolus oriolus,Wielewaal,Eurasian Golden Oriole,Wielewalen,Oriolidae,65 - Oriolus oriolus - Eurasian Golden Oriole.flac.mp3
Lanius collurio,Grauwe klauwier,Red-backed Shrike,Klauwieren,Laniidae,66 - Lanius collurio - Red-backed Shrike.flac.mp3
Larus argentatus,Zilvermeeuw,European Herring Gull,Meeuwen,Laridae,66 - Larus argentatus - European Herring Gull.flac.mp3
Lanius excubitor,Klapekster,Northern Grey Shrike,Klauwieren,Laniidae,67 - Lanius excubitor - Northern Grey Shrike.flac.mp3
Larus marinus,Grote mantelmeeuw,Great Black-backed Gull,Meeuwen,Laridae,67 - Larus marinus - Great Black-backed Gull.flac.mp3
Garrulus glandarius,Vlaamse gaai,Eurasian Jay,Kraaien,Corvidae,68 - Garrulus glandarius - Eurasian Jay.flac.mp3
